,CIK,GVKEY,NAICS,MCAP,REVT,ROA,NPM,NUM_SAVVY,NUM_DIR,ROE
2891,1336920.0,165123.0,541512.0,12446.0,13737.0,0.121,0.051,2,4,0.159
2892,1107421.0,165215.0,325414.0,235.57843,0.398,-0.61,-225.45,2,7,-0.747
2893,1331875.0,165264.0,524127.0,14807.58822,15643.0,0.084,0.106,4,11,0.187
2894,1521951.0,165284.0,522110.0,246.71986,124.095,0.017,0.137,4,10,0.169
2895,1337068.0,165465.0,522180.0,76.49745,31.937,0.012,0.076,1,8,0.081
2896,943184.0,165728.0,315.0,36.22255,330.978,0.011,-0.011,1,2,-0.02
2897,1335258.0,165746.0,711320.0,26891.35075,6268.447,-0.078,-0.326,5,11,
2898,1339605.0,165856.0,423830.0,1600.00634,1062.797,0.096,-0.003,0,10,0.207
2899,1058090.0,165914.0,722513.0,49090.86,7547.061,0.112,0.041,3,4,0.343
2900,1172631.0,165968.0,334413.0,89.62558,101.154,-0.327,-0.331,0,5,-0.483
2901,1136893.0,165993.0,518210.0,66472.35,13877.0,0.063,-0.008,2,12,0.018
2902,1009891.0,166087.0,336413.0,29.140096,58.939,0.005,-0.046,4,6,0.084
2903,1341318.0,166197.0,522120.0,83.1718,27.847,0.016,0.165,2,10,0.075
2904,1235468.0,166213.0,449210.0,718.20835,257.531,0.015,-0.018,4,8,0.279
2905,1321646.0,166230.0,325211.0,1492.8936,1970.129,0.061,-0.144,3,8,0.206
2906,1347178.0,166435.0,325414.0,877.08669,268.682,0.049,0.08,2,6,0.013
2907,1350593.0,166482.0,332911.0,2404.0751,1111.0,0.137,0.075,2,4,0.099
2908,1004724.0,166485.0,531120.0,8.00525,26.69,0.06,0.048,0,1,
2909,1326205.0,166491.0,4233.0,85.61033,0.898,-0.241,-6.328,2,3,-0.529
2910,1350653.0,166555.0,339113.0,1137.70791,243.212,-0.255,-0.52,2,8,-2.583
2911,1272830.0,166562.0,518210.0,5280.78474,1409.015,0.086,-0.02,3,10,-0.067
2912,1694426.0,166563.0,324110.0,1112.21303,10648.2,-0.023,-0.037,5,10,0.286
2913,1239819.0,166583.0,333314.0,271.05904,87.513,0.07,0.075,1,7,-0.019
2914,1131554.0,166593.0,518210.0,215.4642,280.615,0.01,-0.051,3,6,0.062
2915,1537054.0,170384.0,517919.0,1499.01576,335.716,0.088,-0.12,2,10,
2916,1488813.0,170396.0,522110.0,2151.52281,886.058,0.019,0.191,3,9,0.25
2917,1538263.0,170419.0,522110.0,464.1444,158.554,0.016,0.122,4,7,0.087
2918,1530950.0,170527.0,311999.0,6951.096,6226.7,0.088,0.0,4,10,0.195
2919,1353283.0,170616.0,511210.0,26924.14941,2229.385,-0.11,-0.348,5,13,-3.43
2920,1326801.0,170617.0,519130.0,921935.35,117929.0,0.263,0.32,1,6,0.227
2921,1236275.0,170655.0,54151.0,22.95792,41.701,0.003,-0.003,0,1,-0.069
2922,1497253.0,170730.0,325414.0,83.5788,0.0,-0.447,-59.772,3,6,-0.387
2923,1539838.0,170750.0,2111.0,19148.87535,6797.0,-0.162,-1.355,6,10,0.318
2924,1534701.0,170841.0,324110.0,31755.88484,111476.0,0.024,-0.035,6,13,0.397
2925,1487198.0,170920.0,611310.0,118.82547,67.813,-0.025,-0.141,1,1,-0.276
